Geneset/Pathway	Fold Change	Average Expression	t.statistic	P.Value	adj.P.Val	log-odds-ratio	Pathway MemberGenes
Diabetes pathways (Reactome)	-1.324600867	7.11356687	-3.366929497	0.006139436	0.143935667	-2.201951626	"ABCC8,ACADVL,ACTB,ADCY5,ADCY6,ADCY8,ADD1,ADRA2A,ADRA2C,AKAP5,ARFGAP1,ASNS,ATF3,ATF4,ATF6,ATP6V0D1,BCHE,MYDGF,CACNA1A,CACNA1C,CACNA1D,CACNA1E,CACNA2D2,CACNB2,CACNB3,CALR,CCL2,CD44,CDX2,CHRM3,CPE,CTDSP2,CTNNB1,CTSG,CUL7,CXXC1,DCTN1,DDIT3,DDOST,DDX11,DNAJB11,DNAJB9,DNAJC3,DPP4,EDEM1,EIF2AK3,EIF2S1,ERN1,ERO1A,EXOC1,EXOC2,EXOC3,EXOC4,EXOC5,EXOC6,EXOC7,EXOC8,EXTL3,F2,FAU,FFAR1,FKBP14,GATA4,GCG,GFPT1,GH1,GHRL,GIP,GLP1R,GNA11,GNA14,GNA15,GNAI1,GNAI2,GNAO1,GNAQ,GNAS,GNAT3,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,GOSR2,GPR119,FFAR4,GRP,GSK3A,H19,HDGF,HERPUD1,HSP90B1,HSPA5,HYOU1,IGF1,IGF2,IGF2BP1,IGF2BP2,IGF2BP3,IGFALS,IGFBP1,IGFBP2,IGFBP3,IGFBP4,IGFBP5,IGFBP6,CXCL8,INS,IQGAP1,ISL1,ITPR1,ITPR2,ITPR3,KCNB1,KCNC2,KCNG2,KCNJ11,KCNS3,KDELR3,KIF5B,KLF4,KLHDC3,KLK3,LEP,LMNA,MAFA,MARCKS,MBOAT4,MBTPS1,MBTPS2,MMP1,MMP2,MYC,MYO5A,NFYA,NFYB,NFYC,NKX2-2,PAPPA,PAPPA2,PAX6,PCSK1,PCSK2,PDIA5,PDIA6,PDX1,PLA2G4B,PLA2G7,PLCB1,PLCB2,PLCB3,PLG,PPP2R5B,PREB,PRKACA,PRKACB,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKCA,RAB27A,RAP1A,RAP1B,RAPGEF3,RAPGEF4,RPL10,RPL10A,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL37,RPL37A,RPL38,RPL39,RPL3L,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPN1,RPN2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,SEC11A,SEC11C,SEC31A,SEC61A1,SEC61A2,SEC61B,SEC61G,SERP1,SHC1,SLC25A4,SLC25A5,SLC25A6,SLC2A1,SLC2A2,SLC30A5,SLC30A6,SLC30A7,SNAP25,SPCS1,SPCS2,SPCS3,SRP14,SRP19,SRP54,SRP68,SRP72,SRP9,SRPRA,SRPRB,SSR1,SSR2,SSR3,SSR4,STX1A,STXBP1,SULT1A3,SYT5,SYVN1,TATDN2,TCF7L2,TLN1,TPP1,TRAM1,TSPYL2,UBA52,VAMP2,WFS1,WIPI1,XBP1,YIF1A,ZBTB17"
"{SDC1,30} (Static Module)"	-1.706906645	7.195237095	-3.297172592	0.006955141	0.150972897	-2.320008088	"ABCA7,AMN,APOA1,APOA2,APOA4,APOA5,APOB,APOC1,APOC2,APOC3,APOD,APOE,APOF,APOL1,CANX,CETP,CFH,CFHR1,ERO1A,LCAT,LIPC,LIPG,LPL,MTTP,P4HB,PDIA3,PDIA4,PLTP,SCARB1,SDC1"
Irinotecan Pathway (Wikipathways)	-1.786579056	7.009597051	3.292260663	0.007016582	0.150972897	-2.328326853	"CES1,ABCC2,CYP3A4,CYP3A5,APC,ABCC1,UGT1A10,UGT1A6,UGT1A9,UGT1A1,BCHE,CES2,ABCG2"
Nucleotide GPCRs (Wikipathways)	-1.395154902	4.831700128	3.265947268	0.00735525	0.150972897	-2.372901551	"LPAR6,LTB4R,ADORA1,ADORA2A,ADORA2B,ADORA3,SPECC1L,LPAR4,P2RY1,P2RY2,P2RY4,P2RY6"
"GPCRs, Class A Rhodopsin-like (Wikipathways)"	-1.689637142	4.793382523	3.263044284	0.007393617	0.150972897	-2.377820211	"NA,LPAR6,NMUR1,TUBB3,RRH,OR5I1,CYSLTR1,CCR9,NPFFR2,GPR83,GPR75,GPR45,PTGDR2,HRH3,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,MAS1L,OR2D2,CCR1,CCR3,CCR4,CCR5,CCR6,CCR7,CCR8,ACKR2,CMKLR1,LTB4R,OR1I1,CNR1,CNR2,ADORA1,ADORA2A,OR6B1,OR2F2,ADORA2B,ADORA3,OR10A5,OR2AG1,ADRA1D,ADRA1B,ADRA1A,ADRA2A,ADRA2B,ADRA2C,CX3CR1,ADRB1,ADRB2,ADRB3,OR1Q1,DRD1,DRD2,DRD3,DRD4,DRD5,AGTR1,AGTR2,APLNR,EDNRA,EDNRB,F2R,F2RL1,F2RL2,SPECC1L,GPR161,FPR1,FPR2,FPR3,OPN3,NTSR2,FSHR,GALR1,OR1C1,OR1A2,OR2F1,OR2B6,OR7A17,OR10J1,OR8B8,OPN1MW,OR11A1,OR10H3,OR10H2,OR10H1,OR7C2,OR7A5,OR7C1,RGL4,OR2W1,OR2T1,OR2J2,OR2H1,GHSR,HCAR1,C5AR2,P2RY10,GPR1,CCR10,GPR3,GPR4,XCR1,GPR6,NPBWR1,OR8D2,NPBWR2,OR10A4,CXCR3,PRLHR,GPR12,GPR15,GPR17,GPR18,GPR19,GPR20,GPR21,GPR22,LPAR4,MCHR1,GPR25,GPR27,GPER1,GPR31,GPR32,GPR34,GPR35,GPR37,MLNR,GPR39,FFAR1,FFAR3,FFAR2,GRPR,GPR171,HCRTR1,HCRTR2,HRH1,HRH2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR2A,HTR2B,HTR2C,HTR4,HTR5A,HTR6,HTR7,HCAR2,OR5F1,CXCR1,CXCR2,OR7A10,LHCGR,MAS1,MC1R,MC2R,MC3R,MC4R,MC5R,OR2B3,OR2J3,OR14J1,MTNR1A,MTNR1B,NMBR,NPY1R,NPY2R,NPY5R,NTSR1,OPRD1,OPRK1,OPRL1,OPRM1,OR1D2,OR1F1,OR2C1,OR3A1,OR3A2,OXTR,P2RY1,P2RY2,P2RY4,P2RY6,P2RY11,ACKR4,P2RY13,GPR87,GPR173,GPR85,AVPR1A,AVPR1B,AVPR2,NPY4R,OR2S2,SUCNR1,NMUR2,ACKR3,CYSLTR2,LPAR5,PTAFR,PTGDR,PTGER1,PTGER2,PTGER3,PTGER4,PTGFR,PTGIR,OPN1LW,RHO,OPN1SW,BDKRB1,BDKRB2,NPFFR1,CXCR5,P2RY12,SSTR1,SSTR2,SSTR3,SSTR4,SSTR5,BRS3,TBXA2R,C3AR1,TRHR,OPN1MW2,CXCR4,OR2H2,OR2A4,GPR68,GPR63,OR5V1,OR2B2,OR12D3,OR1A1,OR1D4,OR1D5,OR1E1,OR1E2,OR1G1,OR3A3,GPR174,GPR65,GALR3,OR6A2,GALR2,HCAR3,CCKAR,CCKBR,F2RL3,CCRL2,GPR50,GPR37L1,GPR52,OPN4,P2RY14"
Glycosphingolipid biosynthesis - ganglio series (KEGG)	-1.945822545	4.862187753	-3.224100977	0.007928419	0.155245539	-2.443820204	"ST6GALNAC3,B4GALNT1,ST6GALNAC4,GLB1,ST8SIA5,HEXA,HEXB,ST6GALNAC6,ST3GAL1,ST3GAL2,ST8SIA1,ST6GALNAC5,B3GALT4,ST3GAL5,SLC33A1"
"{MMP9,11} (Static Module)"	-1.252867235	8.105354011	-3.212626415	0.008093369	0.155245539	-2.463271924	"IGFBP1,LCN2,MMP1,MMP10,MMP13,MMP14,MMP7,MMP9,PZP,RECK,TIMP2"
"{LDB1,15} (Static Module)"	-1.915321138	7.140813785	-3.144732476	0.009143132	0.166038093	-2.578392993	"FHL1,FMR1,FXR1,FXR2,ISL1,ISL2,LDB1,LDB2,LHX3,LHX4,LMX1A,RLIM,SSBP2,SSBP3,SSBP4"
"{IGF1,13} (Static Module)"	-1.8391492	5.914875767	-3.118074172	0.009592098	0.166038093	-2.62359917	"IGF1,IGF2,IGFALS,IGFBP2,IGFBP3,IGFBP4,IGFBP5,IGFBP6,IGFBP7,IGSF1,ISLR,PAPPA,PAPPA2"
Vitamin A and carotenoid metabolism (Wikipathways)	-2.056477288	4.630545916	-3.079253516	0.010286063	0.166038093	-2.689423287	"RBP7,ADH1A,ADH4,CRABP1,CRABP2,RDH12,CYP2E1,RDH10,AWAT2,CYP26A1,ALDH1A1,ALDH1A3,NPC1L1,LPL,RDH8,BCO1,RETSAT,CYP26B1,RARA,RARB,RARG,RBP1,RBP2,RBP4,RDH5,RLBP1,RPE65,RXRA,RXRB,RXRG,ABCG5,ABCG8,SULT1A1,SULT2B1,BCO2,ALDH1A2,DHRS3,CD36,SCARB1"
Circadian Clock (Reactome)	-1.986718553	6.517176136	-3.068944381	0.010478724	0.166038093	-2.706900833	"ARNTL,ARNTL2,AVP,BHLHE40,BHLHE41,BTRC,NOCT,CLOCK,CRY1,CRY2,CSNK1D,CSNK1E,CUL1,DBP,F7,FBXL3,NPAS2,NR1D1,NR3C1,PER1,PER2,PPARA,RORA,RPS27A,SERPINE1,SKP1,UBA52,UBB,UBC"
"{CYCS,35} (Static Module)"	-1.388731944	6.216658039	-3.066915776	0.010517061	0.166038093	-2.71033985	"ATP5G3,BBC3,COX4I1,COX4I2,COX5A,COX5B,COX6A1,COX6B1,COX6C,COX7A2L,COX7B,COX7C,COX8A,CYC1,CYCS,SLC25A11,SLC25A3,SLC25A31,SLC25A6,TP53AIP1,UQCR11,UQCR10,UQCRB,UQCRC1,UQCRC2,UQCRFS1,UQCRH,UQCRQ,VDAC1,VDAC2,VDAC3"
T Cell Receptor up reg. targets (Netpath)	-1.764363776	6.891245972	-3.062465994	0.010601652	0.166038093	-2.717883182	"GAPDH,FOLH1,GART,GATA3,GBP3,GNAI1,GYS1,HCCS,HDAC2,HINT1,MR1,HLA-DQB1,FKBP2,FGFR1,FDPS,CYBB,DOK1,DDIT3,E2F4,EEF2,EGR1,EIF5A,ENO1,FBL,EPAS1,EWSR1,FABP4,DAD1,HMGN1,IL1RAP,IL9,IL15RA,ILF2,ILK,ILF3,ITGAL,ITGB2,LCP1,JUN,LGALS8,LTB,IL1R1,IGFBP6,HMGN2,HNRNPA1,HOXD3,HSF1,HSPA8,HSP90AA1,HSP90AB1,IFI16,IFNA1,IFNA21,IFNAR1,IL1A,SMAD1,TNF,KLRD1,PTK2B,SHC1,IL17A,IL21R,IL2RA,NA,LTA,PSTPIP1,LCK,ADA,NFKBIA,PTK2,KLRC3,MCTS1,CSF2,CASP3,GAB2,CD2,IL10,IL13,IL27RA,IL4,KLRC1,IL5,KLRC2,AP1B1,RHOC,CDK7,CDKN1A,CDKN3,RCBTB2,CENPF,CHRNA5,CCR5,CCR6,COX6C,CS,CSF2RB,CSF1R,CDK4,CD86,ATF4,ATP5C1,ATM,ATP5D,ATP6V1E1,BCL2,CCND1,C2,CASP2,CCNA2,CD28,CDC20,CTH,AIPL1,TRIM31,IL1RAPL1,PIM2,PNRC1,TLK2,SEC61B,SRSF10,IQGAP2,RRAGA,MRPL3,LYPLA2,TNFAIP8,GTPBP4,CRB1,RPL13A,NA,MAPRE1,XRN2,MMRN1,TREX1,AHCYL1,PRDX4,PUM3,BZW1,SUSD6,GABBR2,IER2,H2AFY,PTGES,RPL23,PSMF1,ABI1,HUWE1,TBL3,SEMA4D,HAX1,ZBTB18,CD2BP2,IFITM3,MSLN,NAMPT,ACTR3,CNOT8,KLHL20,CD3E,TUBB,NA,ISG20L2,CEP97,GCC1,MRPL11,COPS7B,RBM25,SRPRB,H19,KCTD20,PTPRC,XCL1,GZMB,TGFB1,IL6,IL2,IL15,IFNG,CCL4L2,RNF126,PSPC1,LEF1,CHCHD2,DESI2,LAP3,TRAT1,CHST11,TAS2R14,STRN3,GNL2,RSL24D1,ZBTB7A,HRASLS2,FAM35A,ELP6,TMX3,CYCS,CLIC5,ERAP1,TDP2,RAB14,CNIH4,PCSK7,RPS14,PSMD12,PSMA6,PSG3,PSMA5,PPA1,PKIA,POLR2K,PLA2G4A,PKLR,PSMB8,PTMA,RPS3A,RPL41,RPL28,RPL37,RPL7A,RPL6,RFC2,RAD23B,RAB2A,PHB,PGGT1B,NFKB1,NDUFB7,RPL10A,MYC,NCL,MYB,MMP2,MSR1,MFAP1,NFYA,PNP,PGAM1,PDE3B,PFDN4,PRDX1,OAZ1,ODC1,NUCB1,YBX1,NOP2,MBD1,RPS4Y1,KCNAB3,IFRD2,VEZF1,YY1,CNBP,VDAC1,UBE2A,VBP1,TOP2A,TSTA3,ZMYM2,MAPKAPK3,RPL14,CH25H,ALKBH1,TAF1C,TNFRSF10B,HIST2H2AA3,DYNLL1,SLC39A7,TFPI2,TGFB2,TFCP2,SLC5A3,SMARCA4,ITSN1,CCL5,SATB1,CCL4,RYK,RPS29,RPS24,SNRPC,SNRPB,ELOC,TFAM,TAP1,ST14,TAF9,SSB,SOD1,SPN,SOAT1,RPS20"
Cell junction organization (Reactome)	-1.699594363	7.68988293	3.061628986	0.01061764	0.166038093	-2.719302056	"ACTN1,ARHGEF6,CADM1,CADM2,CADM3,CD151,CD47,CDH1,CDH10,CDH11,CDH12,CDH13,CDH15,CDH18,CDH2,CDH24,CDH3,CDH4,CDH5,CDH6,CDH7,CDH8,CDH9,CLDN1,CLDN10,CLDN11,CLDN12,CLDN14,CLDN15,CLDN16,CLDN17,CLDN18,CLDN19,CLDN2,CLDN20,CLDN22,CLDN23,CLDN3,CLDN4,CLDN5,CLDN6,CLDN7,CLDN8,CLDN9,COL17A1,CRB3,CTNNA1,CTNNB1,CTNND1,DST,F11R,FBLIM1,FERMT2,FLNA,FLNC,FYB1,GRB2,ILK,PATJ,ITGA6,ITGB1,ITGB4,JUP,LAMA3,LAMB3,LAMC2,LIMS1,LIMS2,AFDN,MPP5,PARD3,PARD6A,PARD6B,PARD6G,PARVA,PARVB,PLEC,PRKCI,PTK2,PTK2B,PTPN11,PTPN6,PVR,NECTIN1,NECTIN2,NECTIN3,NECTIN4,PXN,RSU1,SIRPA,SIRPB1,SIRPG,SKAP2,SRC,TESK1,TYROBP,VASP"
"{HIST3H3,14} (Static Module)"	-1.765575028	5.574033123	-3.047496378	0.010891294	0.166038093	-2.743257527	"ACD,H2AFB2,HAT1,HIST1H1A,HIST1H1B,HIST1H4A,HIST2H2BE,HIST3H3,POT1,KMT5A,TERF1,TERF2,TERF2IP,TINF2"
Chromosome Maintenance (Reactome)	-1.857623212	5.384377989	-3.034169393	0.011155857	0.166038093	-2.765844037	"ACD,KNL1,CENPA,CENPH,CENPI,CENPK,CENPN,CENPO,CENPP,CENPQ,DKC1,DNA2,FEN1,H2AFB1,H2AFX,H2AFZ,H2BFS,HIST1H2AB,HIST1H2AC,HIST1H2AD,HIST1H2AJ,HIST1H2BA,HIST1H2BB,HIST1H2BC,HIST1H2BD,HIST1H2BH,HIST1H2BJ,HIST1H2BK,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST1H4A,HIST2H2AA3,HIST2H2AC,HIST2H2BE,HIST3H2BB,HIST3H3,HJURP,ITGB3BP,LIG1,CENPU,NHP2,NPM1,OIP5,PCNA,POLA1,POLA2,POLD1,POLD2,POLD3,POLD4,POLE,POLE2,POT1,PRIM1,PRIM2,RBBP4,RBBP7,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPA2,RPA3,RSF1,RUVBL1,RUVBL2,SMARCA5,TERF1,TERF2,TERF2IP,TERT,TINF2,WRAP53"
Glycosphingolipid biosynthesis - globo series (KEGG)	-1.917281306	6.13113371	3.028072042	0.011279049	0.166038093	-2.776176562	"B3GALT5,FUT9,FUT1,FUT2,GBGT1,GLA,HEXA,HEXB,NAGA,A4GALT,ST3GAL1,ST3GAL2,ST8SIA1,B3GALNT1"
"{NOS3,11} (Static Module)"	-1.833887566	5.098826457	-2.988609472	0.012110141	0.174220895	-2.84302704	"GUCY1A2,GUCY1A3,GUCY1B3,GUCY2C,LYPLA1,NOS1,NOS2,NOS3,NOSIP,NOSTRIN,ZDHHC21"
DNA Replication (Wikipathways)	-1.928112212	5.177859591	-2.950660512	0.01296737	0.18197625	-2.907267829	"CDK2,POLD3,DBF4,ORC6,ORC3,POLA2,RPA4,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,ORC1,ORC2,ORC4,ORC5,GMNN,PCNA,POLA1,POLD1,POLD2,POLE,POLE2,MCM10,PRIM1,PRIM2,POLD4,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPA2,RPA3,UBA52,UBC,CDT1,CDC7,CDC45,CDC6"
Caffeine metabolism (KEGG)	-0.899429663	2.322662433	2.939780779	0.013224182	0.18197625	-2.925675301	"NAT2,CYP1A2,CYP2A6,CYP2A7,CYP2A13,XDH,NAT1"
"{APP,28} (Static Module)"	-1.673900015	7.746870745	-2.900829636	0.014186122	0.191059897	-2.991534077	"APBB1,APBB2,APLP1,APLP2,APP,BACE1,BACE2,CHRNA7,CNTN3,CNTN4,DAB1,KIF5B,KLC1,KLC2,KLC3,KLC4,LDLRAD3,LRP10,LRP1B,LRP3,LRP4,MAPK8IP3,NECAB3,PRNP,SPON1,TCF21,TP53BP2"
Metabolism of amino acids and derivatives (Reactome)	-2.268839664	6.077030061	-2.883127828	0.01464614	0.193145967	-3.021439639	"AADAT,AANAT,AASS,ACAD8,ACADSB,ACAT1,ACMSD,AZIN2,AFMID,AGMAT,AGXT,AGXT2,ALDH18A1,ALDH4A1,ALDH6A1,ALDH7A1,ALDH9A1,AMD1,AMDHD1,ARG1,ARG2,ASL,ASMT,ASNS,ASS1,AUH,AZIN1,BBOX1,BCAT1,BCAT2,BCKDHA,BCKDHB,KYAT1,KYAT3,CGA,CGB3,CKB,CKM,CKMT1A,CKMT2,CPS1,DAO,DBH,DBT,DDC,DIO1,DIO2,DIO3,DLD,DLST,FAH,FSHB,FTCD,GAMT,GATM,GCDH,GLS,GLS2,GLUD1,GLUL,GOT1,GOT2,GPT,GPT2,GRHPR,GSTZ1,HAAO,HAL,HAO1,HGD,HIBADH,HIBCH,HPD,HSD17B10,IDO1,IDO2,IVD,IYD,KMO,KYNU,LHB,MCCC1,MCCC2,NAGS,NQO1,OAT,OAZ1,OAZ2,OAZ3,ODC1,OGDH,OTC,PAH,PAOX,PCBD1,PCSK1,PNMT,POMC,PRODH,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,PYCR1,QDPR,SAT1,SHMT1,SLC16A10,SLC1A4,SLC1A5,SLC25A15,SLC25A2,SLC25A21,SLC36A1,SLC36A2,SLC38A1,SLC38A2,SLC38A3,SLC38A4,SLC38A5,SLC3A1,SLC3A2,SLC43A1,SLC43A2,SLC5A5,SLC6A12,SLC6A14,SLC6A15,SLC6A18,SLC6A19,SLC6A20,SLC6A6,SLC6A8,SLC7A1,SLC7A10,SLC7A11,SLC7A2,SLC7A3,SLC7A5,SLC7A6,SLC7A7,SLC7A8,SLC7A9,SMOX,SMS,SRM,TAT,TDO2,TH,TMLHE,TPH1,TPH2,TPO,TSHB,UROC1"
"{JUN,88} (Static Module)"	-1.773720604	6.838201889	-2.859587112	0.015281077	0.19740657	-3.061182495	"AIRE,ASCC1,ASCC2,ASCC3,ATF2,ATF3,ATF7,BATF,BATF3,CABIN1,CD69,CEBPG,CREB5,DDIT3,DEAF1,EGR2,EGR4,FOLH1,FOS,FOSB,FOSL1,FOSL2,FOXP3,GBA,GNLY,HHEX,IFNA1,IFNA10,IFNA14,IFNA17,IFNA2,IFNA21,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNAR1,IFNAR2,IFNB1,IFNE,IFNG,IFNGR1,IFNGR2,IFNK,IFNW1,IL24,IL5,IRF1,IRF3,IRF4,IRF7,IRF9,JUN,JUNB,JUND,LENEP,MAF,MAFB,MGP,MME,MTCH1,MYBBP1A,NFATC1,NFATC2,NFATC2IP,NFATC3,NFATC4,OXTR,PPARGC1A,PSAP,PSME1,PSME2,PSME3,PSORS1C2,PTGDS,SERPINE1,SLC38A6,SLC6A2,SPRR1A,SPRR1B,TBX21,TCIRG1,TIMP1,TRIP4,TSC22D3"
RNA transport (KEGG)	-2.073839992	6.554600317	-2.841963493	0.015774348	0.199703243	-3.090913873	"POM121C,NA,SNUPN,ALYREF,EIF1,POP7,SRRM1,SAP18,EIF1B,PRMT5,TACC3,NXF1,RPP30,RPP38,PAIP1,NUP50,POP4,RPP40,RNPS1,POP1,NUPL2,RPP14,STRAP,DDX20,XPOT,CLNS1A,NUP35,PABPC4L,RPP25L,PABPC5,EEF1A1,EEF1A2,EIF1AX,EIF2S1,EIF2B1,EIF2S3,EIF4A1,EIF4A2,EIF4B,EIF4E,EIF4EBP1,EIF4G1,EIF4G2,EIF5,CASC3,NCBP2,ACIN1,NUP205,NUP210,NUP160,NUP188,NUP62,EIF4E1B,GEMIN5,UPF2,PABPC1,NXT1,PABPC1L2A,NUP43,EIF3E,KPNB1,SUMO4,MAGOH,NCBP1,NUP88,NUP98,PABPC3,GEMIN4,NMD3,TRNT1,POP5,PHAX,NUP54,PNN,RPP25,GEMIN8,MAGOHB,ELAC1,NDC1,NUP133,NXT2,NXF5,NXF3,NXF2,NUP107,THOC2,XPO5,RAN,RANBP2,RANGAP1,SENP2,UPF1,ELAC2,SEC13,PABPC1L2B,UPF3B,UPF3A,SMN1,SMN2,SUMO3,SUMO2,TPR,NXF2B,UBE2I,SUMO1,XPO1,NUP37,DDX39B,THOC6,GEMIN7,GEMIN6,RPP21,NUP85,THOC7,NUP214,PABPC1L,AAAS,SEH1L,PYM1,THOC3,RAE1,GEMIN2,THOC5,EIF3A,EIF3B,EIF3C,EIF3D,EIF3F,EIF3G,EIF3H,EIF3I,EIF3J,EIF4G3,PABPC4,EIF2B4,EIF2B3,EIF2B2,EIF2B5,EIF2S2,EIF1AY,NUP210L,POM121L2,EIF4E2,NUP155,EIF5B,TGS1,NUP93,EIF4A3,NUP58,POM121,RBM8A,NUP153,THOC1"
"{FYN,30} (Static Module)"	-2.003215736	5.294212287	-2.822406429	0.016340349	0.202812562	-3.123883289	"ACP1,ARHGEF15,BLK,DDX41,EFNA1,EFNA2,EFNA3,EFNA4,EFNA5,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHA8,FGR,FYB1,FYN,HCK,LYN,NGEF,SEMA7A,SH2D1A,SHROOM2,SKAP1,SKAP2,WNK2,YES1"
Matrix Metalloproteinases (Wikipathways)	-1.861955667	7.165140184	-2.80345677	0.016908068	0.205823217	-3.155803251	"NA,MMP24,MMP21,MMP1,MMP2,MMP3,MMP7,MMP8,MMP9,MMP10,MMP11,MMP12,MMP13,MMP14,MMP15,MMP16,MMP17,MMP19,MMP26,MMP27,MMP25,BSG,TCF20,TIMP1,TIMP2,TIMP3,TIMP4,TNF,MMP28,MMP23B,MMP20"
"{OTX2,18} (Static Module)"	-2.123723794	4.710065485	2.741133623	0.018917265	0.219624933	-3.260585759	"ATXN7,CRX,DLX3,DLX4,EMX2,EN1,EN2,GBX2,HESX1,HOXA10,HOXC5,HOXC6,OTX1,OTX2,PAX7,PITX2,PROP1,RAX"
AMPK signaling (Wikipathways)	-2.47481364	6.582283262	-2.735270366	0.019118073	0.219624933	-3.270426365	"NA,NA,CDKN1A,CAMKK2,CHKB,CPT1C,PPARGC1B,CPT1A,CPT1B,ADRA1B,ADRA1A,EEF2,EIF4EBP1,ELAVL1,CRTC2,AKT1,AKT2,FASN,PLCB1,MTOR,EEF2K,GYS1,GYS2,ACACA,HMGCR,HNF4A,ACACB,INS,INSR,LEP,LEPR,LIPE,BORCS8-MEF2B,ADIPOR1,PRKAG2,CAB39,PFKFB3,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PRKAG3,STRADB,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKACB,PRKACG,PRKAG1,SLC2A4RG,RPTOR,RPS6KB1,RPS6KB2,SLC2A4,SREBF1,STK11,TP53,INS-IGF2,TSC1,TSC2,BORCS8,ADIPOR2,CAMKK1,PIK3R3,CCNA2,CCNA1,CCNB1,STRADA,ADIPOQ"
Metabolism of nitric oxide (Reactome)	-1.135608829	8.156403388	-2.710196553	0.020000925	0.219624933	-3.312472583	"AKT1,CALM1,CAV1,DNM2,HSP90AA1,LYPLA1,NOS3,NOSIP,NOSTRIN,WASL,ZDHHC21"
Taste transduction (KEGG)	-2.190225481	6.151492977	-2.707320546	0.020104737	0.219624933	-3.317291455	"ADCY6,ADCY8,ADCY4,TAS2R39,TAS2R40,TAS2R41,TAS2R43,TAS2R31,TAS2R45,TAS2R46,TAS2R19,TAS2R20,TAS2R50,GNAS,GNB1,GNB3,GNG3,GRM4,TRPM5,TAS2R60,GNAT3,TAS2R42,ITPR3,KCNB1,ASIC2,TAS2R3,TAS2R4,TAS2R16,TAS2R1,TAS2R9,TAS2R8,TAS2R7,TAS2R13,TAS2R10,TAS2R14,PDE1A,GNG13,PLCB2,TAS2R5,PRKACA,PRKACB,PRKACG,PRKX,TAS2R38,SCNN1A,SCNN1B,SCNN1G,CACNA1A,CACNA1B,TAS1R2,TAS1R1,TAS1R3"
ABC transporters (KEGG)	-2.055188303	6.105279287	2.690857054	0.020709349	0.219624933	-3.344860645	"ABCC5,ABCB6,ABCC9,ABCC4,ABCA7,ABCA10,ABCA9,ABCA8,CFTR,ABCB8,ABCC2,ABCA13,ABCA1,ABCA2,ABCA3,ABCD1,ABCB7,ABCD2,ABCB10,ABCB9,ABCA6,ABCA5,ABCA4,ABCA12,ABCB5,ABCC6,ABCC1,ABCB1,ABCB4,ABCD3,ABCD4,ABCG4,ABCG5,ABCG8,ABCC8,TAP1,TAP2,ABCC11,ABCB11,ABCC3,ABCC10,ABCC12,ABCG2,ABCG1"
Mismatch repair (KEGG)	-2.21596526	5.22890606	-2.68405174	0.020964494	0.219624933	-3.356248403	"POLD3,MLH3,MSH6,RPA4,LIG1,MLH1,MSH2,MSH3,PCNA,PMS2,POLD1,POLD2,POLD4,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPA2,RPA3,SSBP1,EXO1"
